*SOIL WATER BY LAYER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.021 -develop  JUL 11, 2025 15:11:37

!----------------------------
! Variable Descriptions (unit)
!----------------------------
!YEAR    Year of current date of simulation (YYYY)
!DOY     Day of year (d)
!DAS     Days after start of simulation (d)
!LL#D    Volumetric soil water content at Lower Limit in soil layer # (cm3 [water] / cm3 [soil])
!DUL#D   Volumetric soil water content at Drained Upper Limit in soil layer # (cm3[water]/cm3[soil])
!SAT#D   Volumetric soil water content at Saturation in soil layer # (cm3 [water] / cm3 [soil])
!BD#D    Bulk density in soil layer # (g [soil] / cm3 [soil])
!SW#D    Volumetric soil water content in soil layer #  (cm3 [water] / cm3 [soil])

!                    0-5    5-15   15-30   30-45   45-60   60-75   75-90  90-120 120-150     0-5    5-15   15-30   30-45   45-60   60-75   75-90  90-120 120-150     0-5    5-15   15-30   30-45   45-60   60-75   75-90  90-120 120-150     0-5    5-15   15-30   30-45   45-60   60-75   75-90  90-120 120-150     0-5    5-15   15-30   30-45   45-60   60-75   75-90  90-120 120-150
@YEAR DOY   DAS     LL1D    LL2D    LL3D    LL4D    LL5D    LL6D    LL7D    LL8D    LL9D   DUL1D   DUL2D   DUL3D   DUL4D   DUL5D   DUL6D   DUL7D   DUL8D   DUL9D   SAT1D   SAT2D   SAT3D   SAT4D   SAT5D   SAT6D   SAT7D   SAT8D   SAT9D    BD1D    BD2D    BD3D    BD4D    BD5D    BD6D    BD7D    BD8D    BD9D    SW1D    SW2D    SW3D    SW4D    SW5D    SW6D    SW7D    SW8D    SW9D
 1975 157    26   0.0960  0.0960  0.1120  0.0940  0.1030  0.1030  0.1020  0.1020  0.1020  0.2300  0.2300  0.2500  0.2200  0.2200  0.2200  0.2500  0.2500  0.2500  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400  1.2000  1.2000  1.2000  1.2000  1.2000  1.2000  1.2000  1.2000  1.2000  0.2242  0.2216  0.2283  0.2037  0.2054  0.2079  0.2378  0.2398  0.2414
 1975 158    27   0.0960  0.0960  0.1120  0.0940  0.1030  0.1030  0.1020  0.1020  0.1020  0.2300  0.2300  0.2500  0.2200  0.2200  0.2200  0.2500  0.2500  0.2500  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400  1.2000  1.2000  1.2000  1.2000  1.2000  1.2000  1.2000  1.2000  1.2000  0.2035  0.2192  0.2279  0.2036  0.2054  0.2078  0.2378  0.2398  0.2414
 1975 159    28   0.0960  0.0960  0.1120  0.0940  0.1030  0.1030  0.1020  0.1020  0.1020  0.2300  0.2300  0.2500  0.2200  0.2200  0.2200  0.2500  0.2500  0.2500  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400  1.2000  1.2000  1.2000  1.2000  1.2000  1.2000  1.2000  1.2000  1.2000  0.1845  0.2167  0.2274  0.2035  0.2054  0.2078  0.2378  0.2397  0.2414
 1975 160    29   0.0960  0.0960  0.1120  0.0940  0.1030  0.1030  0.1020  0.1020  0.1020  0.2300  0.2300  0.2500  0.2200  0.2200  0.2200  0.2500  0.2500  0.2500  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400  1.2000  1.2000  1.2000  1.2000  1.2000  1.2000  1.2000  1.2000  1.2000  0.1668  0.2140  0.2268  0.2035  0.2053  0.2078  0.2378  0.2397  0.2414
 1975 161    30   0.0960  0.0960  0.1120  0.0940  0.1030  0.1030  0.1020  0.1020  0.1020  0.2300  0.2300  0.2500  0.2200  0.2200  0.2200  0.2500  0.2500  0.2500  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400  1.2000  1.2000  1.2000  1.2000  1.2000  1.2000  1.2000  1.2000  1.2000  0.1504  0.2112  0.2261  0.2034  0.2053  0.2078  0.2378  0.2397  0.2414
 1975 162    31   0.0960  0.0960  0.1120  0.0940  0.1030  0.1030  0.1020  0.1020  0.1020  0.2300  0.2300  0.2500  0.2200  0.2200  0.2200  0.2500  0.2500  0.2500  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400  1.2000  1.2000  1.2000  1.2000  1.2000  1.2000  1.2000  1.2000  1.2000  0.1344  0.2078  0.2250  0.2033  0.2052  0.2078  0.2377  0.2397  0.2414
 1975 163    32   0.0960  0.0960  0.1120  0.0940  0.1030  0.1030  0.1020  0.1020  0.1020  0.2300  0.2300  0.2500  0.2200  0.2200  0.2200  0.2500  0.2500  0.2500  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400  1.2000  1.2000  1.2000  1.2000  1.2000  1.2000  1.2000  1.2000  1.2000  0.1242  0.2050  0.2240  0.2033  0.2052  0.2077  0.2377  0.2397  0.2414
 1975 164    33   0.0960  0.0960  0.1120  0.0940  0.1030  0.1030  0.1020  0.1020  0.1020  0.2300  0.2300  0.2500  0.2200  0.2200  0.2200  0.2500  0.2500  0.2500  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400  1.2000  1.2000  1.2000  1.2000  1.2000  1.2000  1.2000  1.2000  1.2000  0.1593  0.2021  0.2229  0.2032  0.2052  0.2077  0.2377  0.2397  0.2414
 1975 165    34   0.0960  0.0960  0.1120  0.0940  0.1030  0.1030  0.1020  0.1020  0.1020  0.2300  0.2300  0.2500  0.2200  0.2200  0.2200  0.2500  0.2500  0.2500  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400  1.2000  1.2000  1.2000  1.2000  1.2000  1.2000  1.2000  1.2000  1.2000  0.2137  0.1998  0.2221  0.2031  0.2051  0.2077  0.2377  0.2397  0.2414
 1975 166    35   0.0960  0.0960  0.1120  0.0940  0.1030  0.1030  0.1020  0.1020  0.1020  0.2300  0.2300  0.2500  0.2200  0.2200  0.2200  0.2500  0.2500  0.2500  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400  0.4400  1.2000  1.2000  1.2000  1.2000  1.2000  1.2000  1.2000  1.2000  1.2000  0.1931  0.1970  0.2209  0.2029  0.2051  0.2077  0.2377  0.2397  0.2414
