*SOIL WATER BY LAYER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.021 -develop  JUL 11, 2025 15:43:00

!----------------------------
! Variable Descriptions (unit)
!----------------------------
!YEAR    Year of current date of simulation (YYYY)
!DOY     Day of year (d)
!DAS     Days after start of simulation (d)
!LL#D    Volumetric soil water content at Lower Limit in soil layer # (cm3 [water] / cm3 [soil])
!DUL#D   Volumetric soil water content at Drained Upper Limit in soil layer # (cm3[water]/cm3[soil])
!SAT#D   Volumetric soil water content at Saturation in soil layer # (cm3 [water] / cm3 [soil])
!BD#D    Bulk density in soil layer # (g [soil] / cm3 [soil])
!SW#D    Volumetric soil water content in soil layer #  (cm3 [water] / cm3 [soil])

!                    0-5    5-15   15-25   25-35   35-45   45-55   55-65   65-95  95-125 125-155     0-5    5-15   15-25   25-35   35-45   45-55   55-65   65-95  95-125 125-155     0-5    5-15   15-25   25-35   35-45   45-55   55-65   65-95  95-125 125-155     0-5    5-15   15-25   25-35   35-45   45-55   55-65   65-95  95-125 125-155     0-5    5-15   15-25   25-35   35-45   45-55   55-65   65-95  95-125 125-155
@YEAR DOY   DAS     LL1D    LL2D    LL3D    LL4D    LL5D    LL6D    LL7D    LL8D    LL9D   LL10D   DUL1D   DUL2D   DUL3D   DUL4D   DUL5D   DUL6D   DUL7D   DUL8D   DUL9D  DUL10D   SAT1D   SAT2D   SAT3D   SAT4D   SAT5D   SAT6D   SAT7D   SAT8D   SAT9D  SAT10D    BD1D    BD2D    BD3D    BD4D    BD5D    BD6D    BD7D    BD8D    BD9D   BD10D    SW1D    SW2D    SW3D    SW4D    SW5D    SW6D    SW7D    SW8D    SW9D   SW10D
 1974 342    38   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.2823  0.2995  0.3198  0.3715  0.3714  0.3713  0.3713  0.3714  0.3712  0.3714
 1974 343    39   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.2813  0.3000  0.3196  0.3713  0.3712  0.3711  0.3712  0.3713  0.3712  0.3713
 1974 344    40   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.3065  0.3310  0.3352  0.3782  0.3747  0.3728  0.3720  0.3718  0.3711  0.3712
 1974 345    41   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.3062  0.3322  0.3437  0.3859  0.3802  0.3765  0.3742  0.3715  0.3726  0.3712
 1974 346    42   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.3073  0.3372  0.3504  0.3931  0.3867  0.3816  0.3778  0.3721  0.3723  0.3717
 1974 347    43   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.2918  0.3178  0.3347  0.3812  0.3780  0.3755  0.3737  0.3719  0.3722  0.3716
 1974 348    44   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.2883  0.3102  0.3324  0.3817  0.3798  0.3776  0.3756  0.3718  0.3719  0.3718
 1974 349    45   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.2838  0.3054  0.3288  0.3801  0.3799  0.3786  0.3770  0.3719  0.3719  0.3718
 1974 350    46   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.3039  0.3076  0.3282  0.3792  0.3795  0.3791  0.3780  0.3723  0.3721  0.3719
 1974 351    47   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.2900  0.3030  0.3236  0.3742  0.3745  0.3743  0.3738  0.3721  0.3719  0.3718
 1974 352    48   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.2854  0.3023  0.3229  0.3735  0.3739  0.3740  0.3739  0.3716  0.3717  0.3717
 1974 353    49   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.2821  0.3020  0.3227  0.3716  0.3719  0.3719  0.3719  0.3716  0.3717  0.3717
 1974 354    50   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.2810  0.3015  0.3224  0.3714  0.3717  0.3718  0.3717  0.3714  0.3716  0.3716
 1974 355    51   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.3023  0.3053  0.3238  0.3726  0.3721  0.3719  0.3718  0.3720  0.3716  0.3716
 1974 356    52   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.3064  0.3094  0.3266  0.3745  0.3733  0.3725  0.3721  0.3727  0.3715  0.3716
 1974 357    53   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.2971  0.3078  0.3271  0.3757  0.3744  0.3734  0.3727  0.3717  0.3715  0.3715
 1974 358    54   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.2967  0.3070  0.3270  0.3762  0.3752  0.3742  0.3734  0.3727  0.3714  0.3714
 1974 359    55   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.3074  0.3197  0.3333  0.3798  0.3775  0.3758  0.3746  0.3721  0.3718  0.3716
 1974 360    56   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.3064  0.3370  0.3633  0.3948  0.3877  0.3817  0.3781  0.3723  0.3720  0.3718
 1974 361    57   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.2953  0.3213  0.3522  0.3947  0.3948  0.3882  0.3831  0.3733  0.3726  0.3722
 1974 362    58   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.2893  0.3122  0.3421  0.3933  0.3939  0.3910  0.3870  0.3744  0.3735  0.3728
 1974 363    59   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.2851  0.3069  0.3344  0.3888  0.3913  0.3911  0.3890  0.3753  0.3743  0.3735
 1974 364    60   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.2807  0.3026  0.3267  0.3790  0.3803  0.3803  0.3793  0.3725  0.3720  0.3717
 1974 365    61   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.2798  0.3022  0.3231  0.3743  0.3750  0.3750  0.3745  0.3724  0.3720  0.3716
 1975 001    62   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.2969  0.3044  0.3237  0.3740  0.3745  0.3747  0.3746  0.3719  0.3719  0.3717
 1975 002    63   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.2879  0.3020  0.3217  0.3719  0.3721  0.3723  0.3722  0.3719  0.3719  0.3717
 1975 003    64   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.2829  0.3015  0.3214  0.3716  0.3720  0.3721  0.3721  0.3718  0.3718  0.3716
 1975 004    65   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.2814  0.3008  0.3210  0.3713  0.3717  0.3719  0.3720  0.3716  0.3717  0.3716
 1975 005    66   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.2805  0.3004  0.3207  0.3711  0.3715  0.3718  0.3719  0.3716  0.3716  0.3715
 1975 006    67   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.3072  0.3068  0.3238  0.3724  0.3720  0.3719  0.3719  0.3722  0.3716  0.3715
 1975 007    68   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.2959  0.3064  0.3250  0.3736  0.3727  0.3722  0.3720  0.3728  0.3715  0.3714
 1975 008    69   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.2873  0.3029  0.3223  0.3717  0.3726  0.3721  0.3719  0.3727  0.3715  0.3714
 1975 009    70   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.2834  0.3028  0.3223  0.3716  0.3726  0.3721  0.3719  0.3727  0.3715  0.3713
 1975 010    71   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.2827  0.3019  0.3221  0.3718  0.3722  0.3721  0.3720  0.3717  0.3716  0.3729
 1975 011    72   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.2820  0.3016  0.3219  0.3717  0.3720  0.3720  0.3719  0.3716  0.3715  0.3729
 1975 012    73   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.3071  0.3157  0.3288  0.3752  0.3736  0.3728  0.3723  0.3723  0.3715  0.3728
 1975 013    74   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.2923  0.3073  0.3240  0.3723  0.3716  0.3726  0.3722  0.3722  0.3714  0.3728
 1975 014    75   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.3045  0.3084  0.3262  0.3742  0.3728  0.3727  0.3724  0.3715  0.3729  0.3727
 1975 015    76   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.3053  0.3175  0.3318  0.3778  0.3752  0.3738  0.3730  0.3724  0.3727  0.3726
 1975 016    77   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.3061  0.3236  0.3376  0.3826  0.3788  0.3762  0.3746  0.3718  0.3722  0.3724
 1975 017    78   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.3061  0.3268  0.3421  0.3873  0.3829  0.3795  0.3770  0.3720  0.3721  0.3722
 1975 018    79   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.3074  0.3374  0.3618  0.3950  0.3935  0.3865  0.3818  0.3730  0.3725  0.3724
 1975 019    80   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.3052  0.3364  0.3693  0.3945  0.3946  0.3947  0.3947  0.3772  0.3748  0.3735
 1975 020    81   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.3069  0.3372  0.3698  0.3949  0.3949  0.3949  0.3949  0.3943  0.3845  0.3790
 1975 021    82   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.3050  0.3364  0.3693  0.3945  0.3946  0.3947  0.3947  0.3917  0.3881  0.3835
 1975 022    83   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.3074  0.3345  0.3619  0.3950  0.3950  0.3950  0.3950  0.3876  0.3878  0.3856
 1975 023    84   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.3023  0.3214  0.3516  0.3947  0.3947  0.3948  0.3948  0.3840  0.3859  0.3857
 1975 024    85   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.3051  0.3364  0.3568  0.3945  0.3946  0.3947  0.3947  0.3829  0.3843  0.3849
 1975 025    86   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.3034  0.3227  0.3496  0.3947  0.3948  0.3948  0.3948  0.3810  0.3826  0.3837
 1975 026    87   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.3047  0.3362  0.3692  0.3944  0.3945  0.3946  0.3947  0.3889  0.3857  0.3846
