"Time","time_d","Head_1","Rain_2","ET_3_AET","ET_3_PET","NET1.Sources.Sinks","PM","Overland","ET.Interception.Storage","NET2.Accumulation","ERROR..NET1.NET2.","Error.rel","Error.percent","Olf2PM","PM2Olf","Canopy_evap","Surf_evap","PM_evap","PM_trans","Tot_ET"
78.679796684538,0.0274912232843576,0.00080826021197,0,-0.0073130756576,0.027432,-0.0065048154456,-0.0065047497963,-0.000000000017343709534,0,-0.0065047498136,-0.000000065631954893,0.000010089799864,0.00089746035686,0.00003996975597,0,0,-0.0000000028375629372,-0.0016340636409,-0.0056790091791,-0.0073130756576
78.7072879078224,0.0274912232843576,0.00080815084083,0,-0.0073096856492,0.027432,-0.0065015348084,-0.0065014691198,-0.000000000017104820432,0,-0.0065014691369,-0.00000006567151739,0.000010100976308,0.00089841780538,0.00003997350377,0,0,-0.0000000028064104179,-0.0016325127869,-0.0056771700559,-0.0073096856492
78.7347791311067,0.0274912232843576,0.00080804150687,0,-0.0073063141522,0.027432,-0.0064982726453,-0.0064982069172,-0.000000000016870521854,0,-0.0064982069341,-0.00000006571127339,0.000010112165066,0.00089937651217,0.000039978547783,0,0,-0.0000000027757698237,-0.0016309697877,-0.0056753415887,-0.0073063141522
78.7622703543911,0.0274912232843576,0.00080793221006,0,-0.0073029610489,0.027432,-0.0064950288389,-0.006494963071,-0.00000000001664070051,0,-0.0064949630876,-0.000000065751229081,0.000010123367197,0.00090033657089,0.000039984851394,0,0,-0.0000000027456299767,-0.0016294345817,-0.0056735237216,-0.0073029610489
78.7897615776754,0.0274912232843576,0.0008078229504,0,-0.0072996262221,0.027432,-0.0064918032717,-0.006491737464,-0.000000000016415247003,0,-0.0064917374804,-0.000000065791339344,0.00001013457586,0.00090129737253,0.000039992378638,0,0,-0.0000000027159800024,-0.0016279071077,-0.0056717163985,-0.0072996262221
78.8172528009598,0.0274912232843576,0.00080771372785,0,-0.0072963095479,0.027432,-0.00648859582,-0.0064885632285,-0.000000000017317062655,0,-0.0064885632458,-0.000000032574219364,0.000005020238898,0.00044644788094,0.00003997091065,0,0,-0.0000000026847819402,-0.0016263873033,-0.0056699195597,-0.0072963095479
78.8430258227889,0.0257730218290959,0.00080761136497,0,-0.007293216435,0.027432,-0.0064856050701,-0.0064854807749,-0.000000000015974463924,0,-0.0064854807909,-0.00000012427920493,0.000019162498231,0.0017040383491,0.000039980160605,0,0,-0.0000000026578812931,-0.001624969354,-0.0056682444231,-0.007293216435
78.8706397747486,0.0276139519597365,0.00080750172712,0,-0.0072899200207,0.027432,-0.0064824182936,-0.0064823519865,-0.000000000015684536018,0,-0.0064823520022,-0.000000066291420126,0.000010226393313,0.00090935730347,0.000039993407159,0,0,-0.0000000026296567469,-0.0016234575437,-0.0056664598474,-0.0072899200207
78.8982537267084,0.0276139519597365,0.00080739212665,0,-0.0072866415761,0.027432,-0.0064792494495,-0.0064792166637,-0.000000000016550595499,0,-0.0064792166803,-0.000000032769178686,0.0000050575706041,0.00044971580314,0.000039978023383,0,0,-0.0000000025999490881,-0.0016219532929,-0.0056646856833,-0.0072866415761
78.9241418066706,0.0258880799622574,0.00080728940971,0,-0.0072835841411,0.027432,-0.0064762947314,-0.0064761692745,-0.000000000015269001745,0,-0.0064761692897,-0.00000012544169623,0.000019369549457,0.0017222523114,0.000039992454533,0,0,-0.0000000025743298589,-0.001620549827,-0.0056630317398,-0.0072835841411
78.9518790352016,0.0277372285309951,0.00080717939279,0,-0.0072803257617,0.027432,-0.0064731463689,-0.0064731133924,-0.000000000016037663874,0,-0.0064731134084,-0.000000032960487846,0.0000050918934755,0.00045273369523,0.000039981677099,0,0,-0.0000000025455689949,-0.0016190534238,-0.0056612697923,-0.0072803257617
78.9759395176008,0.0240604823991788,0.00080708398893,0,-0.0072775134916,0.027432,-0.0064704295026,-0.0064701975496,-0.000000000014979769032,0,-0.0064701975646,-0.00000023193801212,0.000035846487332,0.0031870502526,0.000039994361362,0,0,-0.0000000025223308522,-0.0016177613313,-0.005659749638,-0.0072775134916
79,0.024060482399193,0.0008069886134,0,-0.0072747145168,0.027432,-0.0064677259034,-0.0064676150698,-0.000000000015981038386,0,-0.0064676150858,-0.00000011081761346,0.000017134084606,0.0015233259423,0.000039978676339,0,0,-0.0000000024975919048,-0.0016164748023,-0.0056582372169,-0.0072747145168
79.0017351309423,0.00173513094225086,0.00080698173607,0.0192,-0.0050597318918,0.019072,0.014947249844,0.014946171635,0.00000015971085002,0,0.014946331346,0.00000091849854737,0.000061451222022,0.0045908901177,0.00046606848341,0,0,-0.00000002065653237,-0.001124657682,-0.0039350535533,-0.0050597318918
79.0033618162006,0.00162668525835841,0.0008069752887,0.0192,-0.0050616578622,0.019072,0.014945317426,0.01494415458,0.00000025077813302,0,0.014944405358,0.0000009120683659,0.000061028894278,0.004558751899,0.0013537096965,0,0,-0.000000061144764238,-0.0011254239068,-0.0039361728107,-0.0050616578622
79.0048868336303,0.00152501742971367,0.00080696924441,0.0192,-0.0050634997151,0.019072,0.014943469529,0.014942280569,0.00000031874529507,0,0.014942599314,0.00000087021540189,0.00005823552147,0.0043495613516,0.0026360423802,0,0,-0.00000012119813592,-0.0011261486247,-0.0039372298923,-0.0050634997151
79.0063165374707,0.00142970384035834,0.00080696357799,0.0192,-0.0050652532326,0.019072,0.014941710345,0.014940597485,0.00000034325848108,0,0.014940940744,0.00000076960147659,0.000051508246326,0.0038466680543,0.0040947940073,0,0,-0.00000019142600614,-0.0011268341279,-0.0039382276787,-0.0050652532326
