*SOIL WATER BY LAYER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.021 -develop  JUL 11, 2025 15:07:12

!----------------------------
! Variable Descriptions (unit)
!----------------------------
!YEAR    Year of current date of simulation (YYYY)
!DOY     Day of year (d)
!DAS     Days after start of simulation (d)
!LL#D    Volumetric soil water content at Lower Limit in soil layer # (cm3 [water] / cm3 [soil])
!DUL#D   Volumetric soil water content at Drained Upper Limit in soil layer # (cm3[water]/cm3[soil])
!SAT#D   Volumetric soil water content at Saturation in soil layer # (cm3 [water] / cm3 [soil])
!BD#D    Bulk density in soil layer # (g [soil] / cm3 [soil])
!SW#D    Volumetric soil water content in soil layer #  (cm3 [water] / cm3 [soil])

!                    0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180
@YEAR DOY   DAS     LL1D    LL2D    LL3D    LL4D    LL5D    LL6D    LL7D    LL8D    LL9D   DUL1D   DUL2D   DUL3D   DUL4D   DUL5D   DUL6D   DUL7D   DUL8D   DUL9D   SAT1D   SAT2D   SAT3D   SAT4D   SAT5D   SAT6D   SAT7D   SAT8D   SAT9D    BD1D    BD2D    BD3D    BD4D    BD5D    BD6D    BD7D    BD8D    BD9D    SW1D    SW2D    SW3D    SW4D    SW5D    SW6D    SW7D    SW8D    SW9D
 1982 066    11   0.0260  0.0250  0.0250  0.0250  0.0250  0.0280  0.0280  0.0290  0.0700  0.0960  0.0860  0.0860  0.0860  0.0860  0.0900  0.0900  0.1300  0.2580  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.3600  1.3000  1.3000  1.4000  1.4000  1.4000  1.4500  1.4500  1.4500  1.2000  0.1417  0.1329  0.1316  0.1327  0.1334  0.1109  0.1055  0.1408  0.2645
 1982 067    12   0.0260  0.0250  0.0250  0.0250  0.0250  0.0280  0.0280  0.0290  0.0700  0.0960  0.0860  0.0860  0.0860  0.0860  0.0900  0.0900  0.1300  0.2580  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.3600  1.3000  1.3000  1.4000  1.4000  1.4000  1.4500  1.4500  1.4500  1.2000  0.0977  0.0975  0.0992  0.1004  0.1010  0.0962  0.0946  0.1327  0.2585
 1982 068    13   0.0260  0.0250  0.0250  0.0250  0.0250  0.0280  0.0280  0.0290  0.0700  0.0960  0.0860  0.0860  0.0860  0.0860  0.0900  0.0900  0.1300  0.2580  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.3600  1.3000  1.3000  1.4000  1.4000  1.4000  1.4500  1.4500  1.4500  1.2000  0.0854  0.0857  0.0882  0.0893  0.0899  0.0911  0.0908  0.1317  0.2568
 1982 069    14   0.0260  0.0250  0.0250  0.0250  0.0250  0.0280  0.0280  0.0290  0.0700  0.0960  0.0860  0.0860  0.0860  0.0860  0.0900  0.0900  0.1300  0.2580  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.3600  1.3000  1.3000  1.4000  1.4000  1.4000  1.4500  1.4500  1.4500  1.2000  0.0748  0.0817  0.0858  0.0855  0.0861  0.0901  0.0899  0.1307  0.2563
 1982 070    15   0.0260  0.0250  0.0250  0.0250  0.0250  0.0280  0.0280  0.0290  0.0700  0.0960  0.0860  0.0860  0.0860  0.0860  0.0900  0.0900  0.1300  0.2580  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.3600  1.3000  1.3000  1.4000  1.4000  1.4000  1.4500  1.4500  1.4500  1.2000  0.0655  0.0778  0.0835  0.0839  0.0848  0.0890  0.0891  0.1296  0.2546
 1982 071    16   0.0260  0.0250  0.0250  0.0250  0.0250  0.0280  0.0280  0.0290  0.0700  0.0960  0.0860  0.0860  0.0860  0.0860  0.0900  0.0900  0.1300  0.2580  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.3600  1.3000  1.3000  1.4000  1.4000  1.4000  1.4500  1.4500  1.4500  1.2000  0.0607  0.0773  0.0834  0.0839  0.0848  0.0890  0.0891  0.1296  0.2546
 1982 072    17   0.0260  0.0250  0.0250  0.0250  0.0250  0.0280  0.0280  0.0290  0.0700  0.0960  0.0860  0.0860  0.0860  0.0860  0.0900  0.0900  0.1300  0.2580  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.3600  1.3000  1.3000  1.4000  1.4000  1.4000  1.4500  1.4500  1.4500  1.2000  0.0562  0.0768  0.0833  0.0839  0.0848  0.0890  0.0891  0.1296  0.2546
 1982 073    18   0.0260  0.0250  0.0250  0.0250  0.0250  0.0280  0.0280  0.0290  0.0700  0.0960  0.0860  0.0860  0.0860  0.0860  0.0900  0.0900  0.1300  0.2580  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.3600  1.3000  1.3000  1.4000  1.4000  1.4000  1.4500  1.4500  1.4500  1.2000  0.0522  0.0762  0.0831  0.0838  0.0848  0.0890  0.0891  0.1296  0.2545
 1982 074    19   0.0260  0.0250  0.0250  0.0250  0.0250  0.0280  0.0280  0.0290  0.0700  0.0960  0.0860  0.0860  0.0860  0.0860  0.0900  0.0900  0.1300  0.2580  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.3600  1.3000  1.3000  1.4000  1.4000  1.4000  1.4500  1.4500  1.4500  1.2000  0.0485  0.0755  0.0829  0.0838  0.0847  0.0890  0.0891  0.1296  0.2545
 1982 075    20   0.0260  0.0250  0.0250  0.0250  0.0250  0.0280  0.0280  0.0290  0.0700  0.0960  0.0860  0.0860  0.0860  0.0860  0.0900  0.0900  0.1300  0.2580  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.3600  1.3000  1.3000  1.4000  1.4000  1.4000  1.4500  1.4500  1.4500  1.2000  0.0450  0.0745  0.0826  0.0838  0.0847  0.0890  0.0891  0.1296  0.2545
