ES1D,ES2D,ES3D,ES4D,ES5D,ES6D,ES7D,ES8D,ES9D,ES10D
0.003,0.963,0.02,0.023,0.015,0,0,0,0,0
0.003,0.93,0.017,0.02,0.012,0,0,0,0,0
0.003,0.98,0.017,0.019,0.011,0,0,0,0,0
0.001,0.27,0.004,0.005,0.002,0,0,0,0,0
0.003,0.989,0.015,0.016,0.007,0,0,0,0,0
0.003,0.988,0.013,0.014,0.006,0,0,0,0,0
0.003,0.992,0.012,0.013,0.005,0,0,0,0,0
0.002,0.72,0.008,0.008,0.002,0,0,0,0,0
0.002,0.628,0.011,0.01,0.004,0,0,0,0,0
0.002,0.678,0.013,0.013,0.005,0,0,0,0,0
0.003,0.905,0.025,0.025,0.013,0,0,0,0,0
0.001,0.32,0.009,0.01,0.006,0,0,0,0,0
0.001,0.418,0.014,0.015,0.009,0,0,0,0,0
0.002,0.526,0.025,0.027,0.018,0,0,0,0,0
0.002,0.443,0.031,0.035,0.026,0.005,0,0,0,0
0.001,0.367,0.022,0.027,0.021,0.005,0,0,0,0
0.001,0.248,0.012,0.015,0.011,0.001,0,0,0,0
0.002,0.372,0.024,0.028,0.021,0.003,0,0,0,0
0,0.063,0.005,0.006,0.004,0.001,0,0,0,0
0,0.069,0.006,0.007,0.006,0.001,0,0,0,0
0.002,0.39,0.03,0.037,0.028,0.005,0,0,0,0
0.002,0.291,0.021,0.025,0.019,0.002,0,0,0,0
0.002,0.44,0.027,0.032,0.024,0,0,0,0,0
0.002,0.45,0.023,0.028,0.02,0,0,0,0,0
0.002,0.46,0.023,0.027,0.018,0,0,0,0,0
0.001,0.212,0.01,0.011,0.007,0,0,0,0,0
0,0.08,0.003,0.004,0.002,0,0,0,0,0
0.002,0.402,0.029,0.032,0.02,0,0,0,0,0
0.002,0.401,0.031,0.035,0.025,0,0,0,0,0
0.002,0.411,0.025,0.03,0.021,0,0,0,0,0
0.002,0.428,0.022,0.026,0.017,0,0,0,0,0
0.002,0.447,0.019,0.022,0.014,0,0,0,0,0
0.002,0.421,0.025,0.027,0.017,0,0,0,0,0
0.002,0.36,0.035,0.037,0.024,0,0,0,0,0
0.002,0.364,0.03,0.035,0.025,0,0,0,0,0
0.002,0.37,0.028,0.032,0.022,0,0,0,0,0
0.002,0.364,0.029,0.033,0.022,0,0,0,0,0
0.002,0.368,0.026,0.03,0.02,0,0,0,0,0
0.002,0.355,0.028,0.031,0.021,0,0,0,0,0
0.002,0.353,0.028,0.032,0.022,0,0,0,0,0
0.002,0.314,0.032,0.035,0.024,0,0,0,0,0
0.002,0.317,0.029,0.033,0.023,0,0,0,0,0
0.017,0.156,0.004,0.002,0.001,0,0,0,0,0
0.002,0.294,0.028,0.033,0.023,0,0,0,0,0
0.002,0.295,0.029,0.033,0.023,0,0,0,0,0
0.015,0.141,0.005,0.002,0.001,0,0,0,0,0
0.013,0.144,0.004,0.002,0.001,0,0,0,0,0
0.012,0.148,0.004,0.002,0.001,0,0,0,0,0
0.011,0.152,0.003,0.002,0.001,0,0,0,0,0
0.001,0.302,0.021,0.025,0.016,0,0,0,0,0
0.001,0.318,0.022,0.025,0.015,0,0,0,0,0
0.001,0.292,0.027,0.029,0.018,0,0,0,0,0
0.01,0.155,0.004,0.002,0.001,0,0,0,0,0
0.009,0.145,0.004,0.002,0.001,0,0,0,0,0
0.008,0.148,0.004,0.002,0.001,0,0,0,0,0
0.007,0.099,0.005,0.003,0.001,0,0,0,0,0
0.007,0.104,0.004,0.003,0.001,0,0,0,0,0
0.006,0.12,0.004,0.002,0.001,0,0,0,0,0
0.005,0.137,0.003,0.002,0.001,0,0,0,0,0
0.001,0.289,0.02,0.024,0.016,0,0,0,0,0
0.001,0.325,0.019,0.021,0.013,0,0,0,0,0
0.001,0.366,0.017,0.019,0.011,0,0,0,0,0
0.001,0.399,0.018,0.019,0.011,0,0,0,0,0
0.001,0.433,0.016,0.018,0.009,0,0,0,0,0
