Title="Fluid balance for area: nfmb_dssat_id_1"
# Polygon element face area:   4.000000000000000
# Polygon control volume area: 4.000000000000000
VARIABLES="Time","Precipitation","Total_PET","Total_AET","BC+14","BC-14","ET14","S14","QH+14","QH-14","QV+14","QV-14","Resid14","Error14","%Error14","Volume14","BC+13","BC-13","ET13","S13","QH+13","QH-13","QVU+13","QVU-13","QVD+13","QVD-13","Resid13","Error13","%Error13","Volume13","VWC13","Sat13","BC+12","BC-12","ET12","S12","QH+12","QH-12","QVU+12","QVU-12","QVD+12","QVD-12","Resid12","Error12","%Error12","Volume12","VWC12","Sat12","BC+11","BC-11","ET11","S11","QH+11","QH-11","QVU+11","QVU-11","QVD+11","QVD-11","Resid11","Error11","%Error11","Volume11","VWC11","Sat11","BC+10","BC-10","ET10","S10","QH+10","QH-10","QVU+10","QVU-10","QVD+10","QVD-10","Resid10","Error10","%Error10","Volume10","VWC10","Sat10","BC+09","BC-09","ET09","S09","QH+09","QH-09","QVU+09","QVU-09","QVD+09","QVD-09","Resid09","Error09","%Error09","Volume09","VWC09","Sat09","BC+08","BC-08","ET08","S08","QH+08","QH-08","QVU+08","QVU-08","QVD+08","QVD-08","Resid08","Error08","%Error08","Volume08","VWC08","Sat08","BC+07","BC-07","ET07","S07","QH+07","QH-07","QVU+07","QVU-07","QVD+07","QVD-07","Resid07","Error07","%Error07","Volume07","VWC07","Sat07","BC+06","BC-06","ET06","S06","QH+06","QH-06","QVU+06","QVU-06","QVD+06","QVD-06","Resid06","Error06","%Error06","Volume06","VWC06","Sat06","BC+05","BC-05","ET05","S05","QH+05","QH-05","QVU+05","QVU-05","QVD+05","QVD-05","Resid05","Error05","%Error05","Volume05","VWC05","Sat05","BC+04","BC-04","ET04","S04","QH+04","QH-04","QVU+04","QVU-04","QVD+04","QVD-04","Resid04","Error04","%Error04","Volume04","VWC04","Sat04","BC+03","BC-03","ET03","S03","QH+03","QH-03","QVU+03","QVU-03","QVD+03","QVD-03","Resid03","Error03","%Error03","Volume03","VWC03","Sat03","BC+02","BC-02","ET02","S02","QH+02","QH-02","QVU+02","QVU-02","QVD+02","QVD-02","Resid02","Error02","%Error02","Volume02","VWC02","Sat02","BC+01","BC-01","ET01","S01","QH+01","QH-01","QVU+01","QVU-01","QVD+01","QVD-01","Resid01","Error01","%Error01","Volume01","VWC01","Sat01"
DATASETAUXDATA Source="HydroGeoSphere, Aquanty Inc."
DATASETAUXDATA HGS_Version="2845"
DATASETAUXDATA Date_Created="2025-08-04T11:45:15+02:00"
DATASETAUXDATA Model_Prefix="lys_e_day1"
DATASETAUXDATA Mass_Base_Unit="kg"
DATASETAUXDATA Length_Base_Unit="m"
DATASETAUXDATA Time_Base_Unit="d"
DATASETAUXDATA Temperature_Base_Unit="deg C"
# Time units: (d)
# Precipitation units: (m^3 d^-1)
# Total_PET units: (m^3 d^-1)
# Total_AET units: (m^3 d^-1)
# BC+14 units: (m^3 d^-1)
# BC-14 units: (m^3 d^-1)
# ET14 units: (m^3 d^-1)
# S14 units: (m^3 d^-1)
# QH+14 units: (m^3 d^-1)
# QH-14 units: (m^3 d^-1)
# QV+14 units: (m^3 d^-1)
# QV-14 units: (m^3 d^-1)
# Resid14 units: (m^3 d^-1)
# Error14 units: (m^3 d^-1)
# %Error14 units: (-)
# Volume14 units: (m^3)
# BC+13 units: (m^3 d^-1)
# BC-13 units: (m^3 d^-1)
# ET13 units: (m^3 d^-1)
# S13 units: (m^3 d^-1)
# QH+13 units: (m^3 d^-1)
# QH-13 units: (m^3 d^-1)
# QVU+13 units: (m^3 d^-1)
# QVU-13 units: (m^3 d^-1)
# QVD+13 units: (m^3 d^-1)
# QVD-13 units: (m^3 d^-1)
# Resid13 units: (m^3 d^-1)
# Error13 units: (m^3 d^-1)
# %Error13 units: (-)
# Volume13 units: (m^3)
# VWC13 units: (-)
# Sat13 units: (-)
# BC+12 units: (m^3 d^-1)
# BC-12 units: (m^3 d^-1)
# ET12 units: (m^3 d^-1)
# S12 units: (m^3 d^-1)
# QH+12 units: (m^3 d^-1)
# QH-12 units: (m^3 d^-1)
# QVU+12 units: (m^3 d^-1)
# QVU-12 units: (m^3 d^-1)
# QVD+12 units: (m^3 d^-1)
# QVD-12 units: (m^3 d^-1)
# Resid12 units: (m^3 d^-1)
# Error12 units: (m^3 d^-1)
# %Error12 units: (-)
# Volume12 units: (m^3)
# VWC12 units: (-)
# Sat12 units: (-)
# BC+11 units: (m^3 d^-1)
# BC-11 units: (m^3 d^-1)
# ET11 units: (m^3 d^-1)
# S11 units: (m^3 d^-1)
# QH+11 units: (m^3 d^-1)
# QH-11 units: (m^3 d^-1)
# QVU+11 units: (m^3 d^-1)
# QVU-11 units: (m^3 d^-1)
# QVD+11 units: (m^3 d^-1)
# QVD-11 units: (m^3 d^-1)
# Resid11 units: (m^3 d^-1)
# Error11 units: (m^3 d^-1)
# %Error11 units: (-)
# Volume11 units: (m^3)
# VWC11 units: (-)
# Sat11 units: (-)
# BC+10 units: (m^3 d^-1)
# BC-10 units: (m^3 d^-1)
# ET10 units: (m^3 d^-1)
# S10 units: (m^3 d^-1)
# QH+10 units: (m^3 d^-1)
# QH-10 units: (m^3 d^-1)
# QVU+10 units: (m^3 d^-1)
# QVU-10 units: (m^3 d^-1)
# QVD+10 units: (m^3 d^-1)
# QVD-10 units: (m^3 d^-1)
# Resid10 units: (m^3 d^-1)
# Error10 units: (m^3 d^-1)
# %Error10 units: (-)
# Volume10 units: (m^3)
# VWC10 units: (-)
# Sat10 units: (-)
# BC+09 units: (m^3 d^-1)
# BC-09 units: (m^3 d^-1)
# ET09 units: (m^3 d^-1)
# S09 units: (m^3 d^-1)
# QH+09 units: (m^3 d^-1)
# QH-09 units: (m^3 d^-1)
# QVU+09 units: (m^3 d^-1)
# QVU-09 units: (m^3 d^-1)
# QVD+09 units: (m^3 d^-1)
# QVD-09 units: (m^3 d^-1)
# Resid09 units: (m^3 d^-1)
# Error09 units: (m^3 d^-1)
# %Error09 units: (-)
# Volume09 units: (m^3)
# VWC09 units: (-)
# Sat09 units: (-)
# BC+08 units: (m^3 d^-1)
# BC-08 units: (m^3 d^-1)
# ET08 units: (m^3 d^-1)
# S08 units: (m^3 d^-1)
# QH+08 units: (m^3 d^-1)
# QH-08 units: (m^3 d^-1)
# QVU+08 units: (m^3 d^-1)
# QVU-08 units: (m^3 d^-1)
# QVD+08 units: (m^3 d^-1)
# QVD-08 units: (m^3 d^-1)
# Resid08 units: (m^3 d^-1)
# Error08 units: (m^3 d^-1)
# %Error08 units: (-)
# Volume08 units: (m^3)
# VWC08 units: (-)
# Sat08 units: (-)
